package,status,kali_categories,domain,summary
bing-ip2hosts,installed,none-detected,general-ops,Enumerate hostnames for an IP using bing.com
binwalk,installed,kali-forensics,forensics-ir,tool library for analyzing binary blobs and executable code
python3-binwalk,installed,none-detected,reverse-fuzzing,Python3 library for analyzing binary blobs and executable code
binwalk3,installed,kali-forensics,forensics-ir,tool library for analyzing binary blobs and executable code
librust-binwalk-dev,unresolved-on-snapshot,none-detected,development-support,Analyzes data for embedded file types - Rust source code
bloodhound,installed,none-detected,general-ops,"Six Degrees of Domain Admin, BloodHound CE"
bloodhound-ce-python,installed,none-detected,general-ops,Python based ingestor for BloodHound CE
bloodhound.py,installed,kali-active-directory,general-ops,"ingestor for BloodHound, based on Impacket (Python 3)"
bloodyad,installed,none-detected,general-ops,Active Directory privilege escalation framework
blue-hydra,installed,none-detected,wireless-rf,Bluetooth device discovery service
bluelog,installed,none-detected,wireless-rf,Bluetooth scanner and logger
blueranger,installed,none-detected,wireless-rf,Simple Bash script to locate Bluetooth devices
bluesnarfer,installed,none-detected,wireless-rf,Bluesnarfing utility
bluez,installed,none-detected,wireless-rf,Bluetooth tools and daemons
bluetooth,installed,none-detected,wireless-rf,Bluetooth support (metapackage)
bluez-cups,installed,none-detected,wireless-rf,Bluetooth printer driver for CUPS
bluez-hcidump,installed,none-detected,wireless-rf,Analyses Bluetooth HCI packets
bluez-meshd,installed,none-detected,wireless-rf,bluetooth mesh daemon
bluez-obexd,installed,none-detected,general-ops,bluez obex daemon
bluez-source,installed,none-detected,wireless-rf,Source code for the BlueZ Linux Bluetooth stack
bluez-test-scripts,installed,none-detected,general-ops,test scripts of bluez
bluez-test-tools,installed,none-detected,general-ops,test tools of bluez
libbluetooth-dev,installed,none-detected,wireless-rf,Development files for using the BlueZ Linux Bluetooth library
libbluetooth3,installed,none-detected,wireless-rf,Library to use the BlueZ Linux Bluetooth stack
bopscrk,installed,none-detected,wireless-rf,Generate smart and powerful wordlists
bpf-linker,installed,none-detected,general-ops,simplify building modern BPF programs
braa,installed,none-detected,general-ops,Mass SNMP scanner
bruteforce-luks,installed,none-detected,credential-access,Try to find a password of a LUKS encrypted volume
bruteforce-salted-openssl,installed,none-detected,crypto-stego,try to find the passphrase for files encrypted with OpenSSL
bruteforce-wallet,installed,none-detected,credential-access,try to find the password of an encrypted wallet file
bruteshark,installed,none-detected,forensics-ir,Network Forensic Analysis Tool (NFAT)
brutespray,installed,none-detected,general-ops,Bruteforcing from various scanner output
btscanner,installed,none-detected,wireless-rf,ncurses-based scanner for Bluetooth devices
bulk-extractor,installed,kali-forensics,forensics-ir,Extracts information without parsing filesystem
bully,installed,kali-wifi-credential-access,wireless-rf,"Implementation of the WPS brute force attack, written in C"
burpsuite,installed,kali-reconnaissance;kali-web-vulnerability-scanning,reconnaissance,platform for security testing of web applications
bytecode-viewer,installed,none-detected,reverse-fuzzing,Java 8+ Jar & Android APK Reverse Engineering Suite
cabextract,installed,none-detected,general-ops,Microsoft Cabinet file unpacker
cadaver,installed,kali-application-layer-protocol,web-app,command-line WebDAV client
caido,installed,none-detected,defensive-monitoring,security auditing toolkit (desktop)
caido-cli,installed,none-detected,defensive-monitoring,security auditing toolkit (CLI)
caldera,installed,none-detected,general-ops,Scalable Automated Adversary Emulation Platform
calico,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
calicoctl,installed,none-detected,cloud-container,networking and network security solution for Kubernetes
capstone,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
capstone-tool,installed,none-detected,general-ops,lightweight multi-architecture disassembly framework - command line tool
libcapstone-dev,installed,none-detected,development-support,lightweight multi-architecture disassembly framework - devel files
libcapstone5,installed,none-detected,development-support,lightweight multi-architecture disassembly framework - library
python3-capstone,installed,none-detected,general-ops,lightweight multi-architecture disassembly framework - Python bindings
ccrypt,installed,none-detected,general-ops,secure encryption and decryption of files and streams
elpa-ps-ccrypt,installed,none-detected,general-ops,Emacs addon for working with files encrypted with ccrypt
certgraph,installed,none-detected,crypto-stego,tool to crawl the graph of certificate Alternate Names
certi,installed,none-detected,crypto-stego,Tool to ask certificates to ADCS and discover templates
certipy-ad,installed,none-detected,crypto-stego,Tool for attacking AD Certificate Services
cewl,installed,kali-credential-access;kali-password-profiling-wordlists,credential-access,custom word list generator
chainsaw,installed,none-detected,forensics-ir,Rapidly search and hunt through Windows forensic artefacts
changeme,installed,none-detected,credential-access,Default credential scanner
chaosreader,installed,none-detected,general-ops,trace network sessions and export it to html format
cherrytree,installed,none-detected,general-ops,hierarchical note taking application
chirp,installed,none-detected,general-ops,Configuration tool for amateur radios
chisel,installed,none-detected,web-app,fast TCP/UDP tunnel over HTTP (program)
chisel-common-binaries,installed,none-detected,general-ops,Prebuilt binaries for chisel
chkrootkit,installed,none-detected,general-ops,rootkit detector
chntpw,installed,kali-os-credential-dumping,credential-access,NT SAM password recovery utility
chromium,installed,none-detected,web-app,web browser
chromium-common,installed,none-detected,web-app,web browser - common resources used by the chromium packages
chromium-driver,installed,none-detected,web-app,web browser - WebDriver support
chromium-headless-shell,installed,none-detected,web-app,web browser - old headless shell
chromium-l10n,installed,none-detected,web-app,web browser - language packs
chromium-sandbox,installed,none-detected,web-app,web browser - setuid security sandbox for chromium
chromium-shell,installable-missing,none-detected,web-app,web browser - minimal shell
cifs-utils,installed,none-detected,general-ops,Common Internet File System utilities
cilium-cli,installed,none-detected,general-ops,Cilium CLI (program)
cisco-auditing-tool,installed,none-detected,defensive-monitoring,Scans Cisco routers for vulnerabilities
cisco-global-exploiter,installed,none-detected,exploitation-c2,Simple and fast Cisco exploitation tool
cisco-ocs,installed,none-detected,general-ops,Mass Cisco scanner
cisco-torch,installed,none-detected,general-ops,Cisco device scanner
cisco7crack,installed,none-detected,credential-access,Crypt and decrypt the cisco type 7 passwords
clamav,installed,none-detected,wireless-rf,anti-virus utility for Unix - command-line interface
clamav-base,installed,none-detected,defensive-monitoring,anti-virus utility for Unix - base package
clamav-daemon,installable-missing,none-detected,defensive-monitoring,anti-virus utility for Unix - scanner daemon
clamav-doc,installable-missing,none-detected,defensive-monitoring,anti-virus utility for Unix - documentation
clamav-docs,installable-missing,none-detected,defensive-monitoring,anti-virus utility for Unix - documentation
clamav-freshclam,installed,none-detected,defensive-monitoring,anti-virus utility for Unix - virus database update utility
clamav-milter,installable-missing,none-detected,defensive-monitoring,anti-virus utility for Unix - sendmail integration
clamav-testfiles,installable-missing,none-detected,defensive-monitoring,anti-virus utility for Unix - test files
clamdscan,installable-missing,none-detected,general-ops,anti-virus utility for Unix - scanner client
libclamav-dev,installable-missing,none-detected,defensive-monitoring,anti-virus utility for Unix - development files
libclamav12,installed,none-detected,defensive-monitoring,anti-virus utility for Unix - library
cloud-enum,installed,none-detected,cloud-container,Multi-cloud open source intelligence tool
cloudbrute,installed,none-detected,cloud-container,Awesome cloud enumerator (program)
cmospwd,installed,none-detected,credential-access,decrypt BIOS passwords from CMOS
cmseek,installed,none-detected,exploitation-c2,CMS Detection and Exploitation suite
cntlm,installed,none-detected,credential-access,Fast NTLM authentication proxy with tunneling
code-oss,installed,none-detected,general-ops,Open Source package of vscode
coercer,installed,none-detected,general-ops,coerce a Windows server to authenticate on an arbitrary machine
colly,installed,none-detected,general-ops,Elegant Scraper and Crawler Framework for Golang (program)
golang-github-gocolly-colly-dev,installable-missing,none-detected,development-support,Elegant Scraper and Crawler Framework for Golang (dev)
command-not-found,installable-missing,none-detected,general-ops,Suggest installation of packages in interactive bash sessions
commix,installed,kali-initial-access,exploitation-c2,Automated All-in-One OS Command Injection and Exploitation Tool
copy-router-config,installed,none-detected,general-ops,Copies Cisco configs via SNMP
cosign,installed,none-detected,cloud-container,Code signing/transparency for containers and binaries (program)
golang-github-sigstore-cosign-dev,unresolved-on-snapshot,none-detected,cloud-container,Code signing/transparency for containers and binaries (library)
covenant-kbx,installable-missing,none-detected,general-ops,.NET command and control framework
cowpatty,installed,none-detected,wireless-rf,Brute-force WPA dictionary attack
crack,installed,none-detected,credential-access,Password guessing program (crypt() variant)
crack-common,installed,none-detected,credential-access,Password guessing program (common files of all variants)
crack-md5,installable-missing,none-detected,credential-access,Password guessing program (MD5 variant)
crackle,installed,none-detected,general-ops,Crack and decrypt BLE encryption
crackmapexec,installed,none-detected,general-ops,Swiss army knife for pentesting networks
creddump7,installed,kali-os-credential-dumping,credential-access,Python tool to extract credentials and secrets from Windows registry hives
cri-tools,installed,none-detected,general-ops,command line tool used for creating OCI images
crlfuzz,installed,none-detected,reverse-fuzzing,Fast tool to scan CRLF vulnerability written in Go
crowbar,installed,none-detected,general-ops,Brute forcing tool
crunch,installed,kali-credential-access;kali-password-profiling-wordlists,credential-access,tool for creating wordlist
cryptcat,installed,none-detected,general-ops,lightweight version netcat extended with twofish encryption
cryptsetup,installed,none-detected,general-ops,disk encryption support - startup scripts
cryptsetup-bin,installed,kali-protect,general-ops,disk encryption support - command line tools
cryptsetup-initramfs,installed,none-detected,general-ops,disk encryption support - initramfs integration
cryptsetup-ssh,installable-missing,none-detected,general-ops,disk encryption support - experimental SSH token handler
cryptsetup-suspend,installable-missing,none-detected,general-ops,disk encryption support - suspend mode integration
cryptsetup-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libcryptsetup-dev,installable-missing,none-detected,development-support,disk encryption support - development files
libcryptsetup12,installed,none-detected,development-support,disk encryption support - shared library
libcryptsetup12-udeb,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
cryptsetup-nuke-password,installed,none-detected,credential-access,Erase the LUKS keys with a special password on the unlock prompt
cupid-wpa,unresolved-on-snapshot,none-detected,wireless-rf,No package metadata available on current APT snapshot.
cupid-hostapd,installed,none-detected,wireless-rf,Fork of hostapd to exploit hertbleed vulnerability on wireless networks
cupid-wpasupplicant,installed,none-detected,wireless-rf,Fork of wpasupplicant to exploit hertbleed vulnerability on wireless networks
curl,installed,none-detected,general-ops,command line tool for transferring data with URL syntax
libcurl3t64-gnutls,installed,none-detected,development-support,easy-to-use client-side URL transfer library (GnuTLS flavour)
libcurl4-doc,installable-missing,none-detected,development-support,documentation for libcurl
libcurl4-gnutls-dev,installable-missing,none-detected,development-support,development files and documentation for libcurl (GnuTLS flavour)
libcurl4-openssl-dev,installable-missing,none-detected,crypto-stego,development files and documentation for libcurl (OpenSSL flavour)
libcurl4t64,installed,none-detected,crypto-stego,easy-to-use client-side URL transfer library (OpenSSL flavour)
cutecom,installed,none-detected,general-ops,"Graphical serial terminal, like minicom"
cutycapt,installed,kali-reporting-tools,web-app,utility to capture WebKit's rendering of a web page
cymothoa,installed,none-detected,general-ops,Stealth backdooring tool
darkstat,installed,none-detected,general-ops,network traffic analyzer
davtest,installed,kali-web-vulnerability-scanning,web-app,Testing tool for WebDAV servers
dbd,installed,kali-non-application-layer-protocol,general-ops,Netcat clone with encryption
dbeaver,installed,none-detected,general-ops,Universal Database Manager and SQL Client
dc3dd,installed,none-detected,forensics-ir,patched version of GNU dd with forensic features
dcfldd,installed,none-detected,forensics-ir,enhanced version of dd for forensics and security
ddrescue,installed,none-detected,forensics-ir,data recovery and protection tool
defectdojo,installed,none-detected,general-ops,security orchestration and vulnerability management platform
detect-it-easy,installed,none-detected,general-ops,Program for determining types of files
dex2jar,installed,none-detected,general-ops,Tools to work with android .dex and java .class files
dfdatetime,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
python3-dfdatetime,installed,none-detected,forensics-ir,Digital Forensics date and time library for Python 3
dfvfs,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
python3-dfvfs,installed,none-detected,forensics-ir,Digital Forensics Virtual File System
dfwinreg,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
python3-dfwinreg,installed,none-detected,forensics-ir,Digital Forensics Windows Registry library for Python 3
dhcpig,installed,none-detected,development-support,DHCP exhaustion script using scapy network library
dirb,installed,kali-reconnaissance;kali-web-scanning,reconnaissance,URL bruteforcing tool
dirbuster,installed,kali-reconnaissance;kali-web-scanning,reconnaissance,Web server directory brute-forcer
dirsearch,installed,none-detected,web-app,Web path scanner
dislocker,installed,none-detected,general-ops,read/write encrypted BitLocker volumes
libdislocker0-dev,installable-missing,none-detected,development-support,read/write encrypted BitLocker volumes (development files)
libdislocker0.7t64,installed,none-detected,development-support,read/write encrypted BitLocker volumes (shared library)
distorm3,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
libdistorm3-3,installed,none-detected,wireless-rf,powerful disassembler library for x86/AMD64 binary streams (runtime)
libdistorm3-dev,installable-missing,none-detected,wireless-rf,powerful disassembler library for x86/AMD64 binary streams (development files)
python3-distorm3,installed,none-detected,wireless-rf,powerful disassembler library for x86/AMD64 binary streams (Python3 bindings)
dmitry,installed,kali-network-information,general-ops,Deepmagic Information Gathering Tool
dns2tcp,installed,kali-protocol-tunneling,general-ops,TCP-over-DNS tunnel server and client
dnscat2,installed,none-detected,general-ops,DNS tunnel (metapackage)
dnscat2-client,installed,none-detected,general-ops,"DNS tunnel, the client part"
dnscat2-server,installed,none-detected,general-ops,"DNS tunnel, the server part"
dnschef,installed,kali-network-sniffing,general-ops,DNS proxy for penetration testers
dnsenum,installed,kali-network-information-dns,reconnaissance,tool to enumerate domain DNS information
dnsgen,installed,none-detected,general-ops,DNS generator
dnsmap,installed,kali-network-information-dns,general-ops,DNS domain name brute forcing tool
dnsrecon,installed,kali-network-information-dns,reconnaissance,Powerful DNS enumeration script
dnstracer,installed,none-detected,general-ops,trace DNS queries to the source
dnstwist,installed,none-detected,general-ops,Domain name permutation engine
dnswalk,installed,none-detected,general-ops,Checks dns zone information using nameserver lookups
dnsx,installed,none-detected,wireless-rf,perform multiple dns queries
donut-shellcode,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
donut,installed,none-detected,general-ops,Generates position-independent shellcode from memory and runs them
python-donut-doc,installable-missing,none-detected,development-support,Donut documentation
python3-donut,installed,none-detected,general-ops,Generates position-independent shellcode from memory and runs them
doona,installed,none-detected,reverse-fuzzing,Network fuzzer forked from bed
dos2unix,installed,none-detected,general-ops,convert text file line endings between CRLF and LF
dotdotpwn,installed,none-detected,reverse-fuzzing,Directory Traversal Fuzzer.
dploot,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
python3-dploot,installed,none-detected,general-ops,Python rewrite of SharpDPAPI
dradis,installed,none-detected,general-ops,Collaboration tools for penetration testing
driftnet,installed,none-detected,general-ops,picks out and displays images from network traffic
dscan,installed,none-detected,general-ops,wrapper around nmap
dscan-doc,installable-missing,none-detected,development-support,wrapper around nmap (documentation)
dsniff,installed,kali-network-sniffing,general-ops,Various tools to sniff network traffic for cleartext insecurities
dufflebag,installed,none-detected,general-ops,Search exposed EBS volumes for secrets (program)
dumpsterdiver,installed,none-detected,general-ops,tool to analyze big volumes of data in search of hardcoded secrets
dumpzilla,installed,none-detected,forensics-ir,Mozilla browser forensic tool
dvwa,installable-missing,none-detected,web-app,Damn Vulnerable Web Application
dwarf2json,installed,none-detected,wireless-rf,utility to generat volatility 3 Intermediate Symbol File (ISF) JSON
eaphammer,installed,none-detected,wireless-rf,toolkit for targeted evil twin attacks against WPA2-Enterprise networks
eapmd5pass,installed,none-detected,general-ops,Tool for extracting and cracking EAP-MD5
edb-debugger,installed,none-detected,reverse-fuzzing,cross platform x86/x86-64 debugger
edb-debugger-plugins,installed,none-detected,reverse-fuzzing,edb plugins
eksctl,installed,none-detected,general-ops,official CLI for Amazon EKS (program)
email2phonenumber,installed,none-detected,general-ops,OSINT tool to obtain a target's phone number by having their email address
emailharvester,installed,none-detected,general-ops,Email addresses harvester
enum4linux,installed,kali-discovery;kali-network-share-discovery,general-ops,Enumerates info from Windows and Samba systems
enum4linux-ng,installed,none-detected,general-ops,Next generation version of enum4linux
enumiax,installed,none-detected,general-ops,IAX protocol username enumerator
ethtool,installed,none-detected,general-ops,display or change Ethernet device settings
ettercap,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
ettercap-common,installed,none-detected,general-ops,Multipurpose sniffer/interceptor/logger for switched LAN
ettercap-graphical,installed,none-detected,general-ops,Ettercap GUI-enabled executable
ettercap-text-only,installable-missing,none-detected,general-ops,Ettercap console-mode executable
evil-ssdp,installed,none-detected,credential-access,Spoof SSDP replies to phish for NTLM hashes on a network
evil-winrm,installed,kali-application-layer-protocol;kali-lateral-movement;kali-pass-the-hash,general-ops,ultimate WinRM shell for hacking/pentesting
evil-winrm-py,installed,none-detected,general-ops,Execute commands on remote Windows machines using WinRM
evilginx2,installed,none-detected,general-ops,man-in-the-middle attack framework
exe2hexbat,installed,kali-defense-evasion,general-ops,Convert EXE to bat
exiflooter,installed,none-detected,general-ops,finds geolocation on all image urls and directories
exifprobe,installed,none-detected,general-ops,read metadata from digital pictures
exiv2,installed,none-detected,general-ops,EXIF/IPTC/XMP metadata manipulation tool
libexiv2-28,installed,none-detected,development-support,EXIF/IPTC/XMP metadata manipulation library
libexiv2-data,installed,none-detected,development-support,EXIF/IPTC/XMP metadata manipulation library - shared data
libexiv2-dev,installable-missing,none-detected,development-support,EXIF/IPTC/XMP metadata manipulation library - development files
libexiv2-doc,installable-missing,none-detected,development-support,EXIF/IPTC/XMP metadata manipulation library - HTML documentation
expect,installed,none-detected,general-ops,Automates interactive applications
tcl-expect,installed,none-detected,general-ops,Automates interactive applications (Tcl package)
tcl-expect-dev,installable-missing,none-detected,development-support,Automates interactive applications (development)
exploitdb,installed,kali-identify;kali-resource-development,exploitation-c2,Searchable Exploit Database archive
exploitdb-bin-sploits,installed,none-detected,reverse-fuzzing,The Exploit Database's archive of binary exploits
exploitdb-papers,installed,none-detected,exploitation-c2,The Exploit Database's archive of papers & ezines
ext3grep,installed,none-detected,forensics-ir,tool to help recover deleted files on ext3 filesystems
ext4magic,installed,none-detected,forensics-ir,recover deleted files from ext3 or ext4 partitions
extundelete,installed,none-detected,forensics-ir,utility to recover deleted files from ext3/ext4 partition
eyewitness,installed,none-detected,web-app,Rapid web application triage tool
faraday-agent-dispatcher,installed,none-detected,general-ops,helper to develop integrations with Faraday (Python 3)
faraday-cli,installed,none-detected,general-ops,Faraday on the terminal
fatcat,installed,none-detected,forensics-ir,"FAT filesystem explore, extract, repair, and forensic tool"
fcrackzip,installed,none-detected,credential-access,password cracker for zip archives
fern-wifi-cracker,installed,kali-wifi-credential-access,wireless-rf,Automated Wi-Fi cracker
feroxbuster,installed,none-detected,general-ops,"fast, simple, recursive content discovery tool written in Rust"
ferret-sidejack,installed,none-detected,defensive-monitoring,Monitors data and extracts interesting data
ffuf,installed,kali-reconnaissance;kali-web-scanning,reconnaissance,Fast web fuzzer written in Go (program)
fierce,installed,kali-discovery;kali-remote-system-discovery,general-ops,Domain DNS scanner
fiked,installed,none-detected,general-ops,Cisco VPN attack tool
finalrecon,installed,none-detected,reconnaissance,fast and simple Python script for web reconnaissance
findomain,installed,none-detected,general-ops,Fastest and most complete solution for domain recognition
firefox-developer-edition-kbx,unresolved-on-snapshot,none-detected,development-support,No package metadata available on current APT snapshot.
firefox-developer-edition-en-us-kbx,installable-missing,none-detected,web-app,Mozilla Firefox web browser - Developer Edition - en-US
firewalk,installed,none-detected,reconnaissance,active reconnaissance network security tool
firmware-mod-kit,installed,none-detected,reconnaissance,Deconstruct and reconstruct firmware images
flashrom,installed,none-detected,general-ops,"Identify, read, write, erase, and verify BIOS/ROM/flash chips"
libflashrom-dev,installable-missing,none-detected,development-support,BIOS/ROM/flash chips - development files
libflashrom1,installed,none-detected,development-support,"Identify, read, write, erase, and verify BIOS/ROM/flash chips - library"
fluxion,installed,none-detected,defensive-monitoring,security auditing and social-engineering research tool
foremost,installed,kali-forensic-carving-tools;kali-forensics;kali-respond,forensics-ir,forensic program to recover lost files
forensic-artifacts,installed,none-detected,forensics-ir,knowledge base of forensic artifacts (data files)
python3-artifacts,installed,none-detected,forensics-ir,knowledge base of forensic artifacts (Python 3)
forensics-colorize,installed,none-detected,forensics-ir,show differences between files using color graphics
fping,installed,kali-remote-system-discovery,general-ops,sends ICMP ECHO_REQUEST packets to network hosts
fragrouter,installed,none-detected,defensive-monitoring,IDS evasion toolkit
framework2,installed,none-detected,exploitation-c2,Metasploit Framework 2
freeradius,installed,none-detected,wireless-rf,high-performance and highly configurable RADIUS server
freeradius-common,installed,none-detected,general-ops,FreeRADIUS common files
freeradius-config,installed,none-detected,general-ops,FreeRADIUS default config files
freeradius-dhcp,installable-missing,none-detected,general-ops,DHCP module for FreeRADIUS server
freeradius-iodbc,installable-missing,none-detected,general-ops,iODBC module for FreeRADIUS server
freeradius-krb5,installable-missing,none-detected,credential-access,kerberos module for FreeRADIUS server
freeradius-ldap,installable-missing,none-detected,general-ops,LDAP module for FreeRADIUS server
freeradius-memcached,installable-missing,none-detected,general-ops,Memcached module for FreeRADIUS server
freeradius-mysql,installable-missing,none-detected,general-ops,MySQL module for FreeRADIUS server
freeradius-postgresql,installable-missing,none-detected,general-ops,PostgreSQL module for FreeRADIUS server
freeradius-python3,installable-missing,none-detected,general-ops,Python 3 module for FreeRADIUS server
freeradius-redis,installable-missing,none-detected,general-ops,Redis module for FreeRADIUS server
freeradius-rest,installable-missing,none-detected,general-ops,REST module for FreeRADIUS server
freeradius-utils,installable-missing,none-detected,general-ops,FreeRADIUS client utilities
freeradius-yubikey,installable-missing,none-detected,general-ops,Yubikey module for FreeRADIUS server
libfreeradius-dev,installable-missing,none-detected,development-support,FreeRADIUS shared library development files
libfreeradius3,installed,none-detected,development-support,FreeRADIUS shared library
freeradius-wpe,installed,none-detected,wireless-rf,FreeRadius Wireless Pawn Edition
freerdp3,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
freerdp-proxy,installable-missing,none-detected,general-ops,FreeRDP proxy server
freerdp-proxy-modules,installable-missing,none-detected,general-ops,FreeRDP Remote Desktop Protocol proxy module libraries
freerdp-sdl,installable-missing,none-detected,general-ops,RDP client for Windows Terminal Services (SDL client)
freerdp-shadow-x11,installable-missing,none-detected,general-ops,FreeRDP x11 shadowing server
freerdp-wayland,installable-missing,none-detected,general-ops,RDP client for Windows Terminal Services (wayland client)
freerdp-x11,installed,kali-application-layer-protocol;kali-lateral-movement;kali-pass-the-hash,general-ops,RDP client for Windows Terminal Services (X11 client)
freerdp3-dev,installable-missing,none-detected,development-support,Free Remote Desktop Protocol library (development files)
freerdp3-proxy,installable-missing,none-detected,general-ops,FreeRDP proxy server (transitional package)
freerdp3-proxy-modules,installable-missing,none-detected,general-ops,FreeRDP Remote Desktop Protocol proxy module libraries (transitional package)
