package,status,kali_categories,domain,summary,when_to_use,offensive_use_case,defensive_use_case,general_use_case
cewl,installed,kali-credential-access;kali-password-profiling-wordlists,credential-access,custom word list generator,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
changeme,installed,none-detected,credential-access,Default credential scanner,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
chntpw,installed,kali-os-credential-dumping,credential-access,NT SAM password recovery utility,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
cisco7crack,installed,none-detected,credential-access,Crypt and decrypt the cisco type 7 passwords,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
cmospwd,installed,none-detected,credential-access,decrypt BIOS passwords from CMOS,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
cntlm,installed,none-detected,credential-access,Fast NTLM authentication proxy with tunneling,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
crack,installed,none-detected,credential-access,Password guessing program (crypt() variant),"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
crack-common,installed,none-detected,credential-access,Password guessing program (common files of all variants),"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
crack-md5,installable-missing,none-detected,credential-access,Password guessing program (MD5 variant),"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
creddump7,installed,kali-os-credential-dumping,credential-access,Python tool to extract credentials and secrets from Windows registry hives,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
crunch,installed,kali-credential-access;kali-password-profiling-wordlists,credential-access,tool for creating wordlist,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
cryptsetup-nuke-password,installed,none-detected,credential-access,Erase the LUKS keys with a special password on the unlock prompt,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
evil-ssdp,installed,none-detected,credential-access,Spoof SSDP replies to phish for NTLM hashes on a network,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
fcrackzip,installed,none-detected,credential-access,password cracker for zip archives,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
freeradius-krb5,installable-missing,none-detected,credential-access,kerberos module for FreeRADIUS server,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
gss-ntlmssp,installable-missing,none-detected,credential-access,GSSAPI NTLMSSP Mechanism -- MIT GSSAPI plugin,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
gss-ntlmssp-dev,installable-missing,none-detected,credential-access,GSSAPI NTLMSSP Mechanism -- development headers,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
hashcat,installed,kali-credential-access;kali-password-cracking,credential-access,World's fastest and most advanced password recovery utility,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
hashcat-data,installed,none-detected,credential-access,Data files for hashcat advanced password recovery utility,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
hashcat-utils,installed,none-detected,credential-access,Set of small utilities for advanced password cracking,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
hcxtools,installed,none-detected,credential-access,Tools for converting captures to use with hashcat or John the Ripper,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
hekatomb,installed,none-detected,credential-access,Extract and decrypt all credentials from all domain computers,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
hydra,installed,kali-brute-force;kali-credential-access,credential-access,very fast network logon cracker,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
john,installed,kali-credential-access;kali-password-cracking,credential-access,active password cracking tool,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
john-data,installed,none-detected,credential-access,active password cracking tool - character sets,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
kali-tools-passwords,installed,none-detected,credential-access,Kali's password cracking tools menu,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
kerberoast,installed,none-detected,credential-access,tools for attacking MS Kerberos implementations,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
krbrelayx,installed,none-detected,credential-access,Kerberos relaying and unconstrained delegation abuse toolkit,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
lapsdumper,installed,none-detected,credential-access,Tool that dumps LAPS passwords,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
medusa,installed,kali-brute-force;kali-credential-access,credential-access,"fast, parallel, modular, login brute-forcer for network services","Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
mimikatz,installed,kali-os-credential-dumping;kali-pass-the-hash,credential-access,Uses admin rights on Windows to display passwords in plaintext,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
multiforcer,installed,none-detected,credential-access,GPU accelerated password cracking tool,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
ncrack,installed,kali-brute-force;kali-credential-access,credential-access,High-speed network authentication cracking tool,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
netexec,installed,kali-application-layer-protocol;kali-brute-force;kali-credential-access;kali-lateral-movement;kali-network-share-discovery;kali-pass-the-hash,credential-access,Network Execution Tool,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
ophcrack,installed,none-detected,credential-access,Microsoft Windows password cracker using rainbow tables (gui),"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
ophcrack-cli,installed,kali-password-cracking,credential-access,Microsoft Windows password cracker using rainbow tables (cmdline),"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
pack,installed,none-detected,credential-access,Password analysis and cracking kit,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
pack2,installed,none-detected,credential-access,Password analysis and cracking kit 2,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
passing-the-hash,installed,kali-pass-the-hash,credential-access,Patched tools to use password hashes as authentication input,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
pdfcrack,installed,none-detected,credential-access,PDF files password cracker,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
phishery,installed,none-detected,credential-access,Basic Auth Credential Harvester with Word Doc Template Injector,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
pipal,installed,kali-reporting-tools,credential-access,Statistical analysis on password dumps,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
polenum,installed,none-detected,credential-access,Extracts the password policy from a Windows system,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
princeprocessor,installed,none-detected,credential-access,standalone password candidate generator using the PRINCE algorithm,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
rainbowcrack,installed,none-detected,credential-access,Rainbow table password cracker,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
rarcrack,installed,none-detected,credential-access,Password cracker for rar archives,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
responder,installed,kali-credential-access,credential-access,LLMNR/NBT-NS/mDNS Poisoner,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
rsmangler,installed,kali-password-profiling-wordlists,credential-access,Wordlist mangling tool,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
rubeus,installed,none-detected,credential-access,Raw Kerberos interaction and abuses,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
samdump2,installed,kali-os-credential-dumping,credential-access,Dump Windows 2k/NT/XP password hashes,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
spray,installed,none-detected,credential-access,Password Spraying tool for Active Directory Credentials,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
sprayhound,installed,none-detected,credential-access,Password spraying tool and Bloodhound integration,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
sprayingtoolkit,installed,none-detected,credential-access,"Scripts to make password spraying attacks against Lync/S4B, OWA & O365","Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
spraykatz,installed,none-detected,credential-access,tool able to retrieve credentials on Windows machines,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
tightvncpasswd,installed,none-detected,credential-access,virtual network computing password tool,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
